snippet_filename,readability_rating,total_lines,avg_line_length,max_line_length,avg_num_identifiers,max_num_identifiers,avg_identifier_len,max_identifier_len,avg_indentation,max_indentation,avg_keywords,avg_numbers,avg_comments,avg_comment_len,avg_strings,avg_strings_len,avg_commas_periods,avg_spaces,avg_parenthesis,avg_blank_lines
1.go,5.0,16.0,32.88,181,2.12,14.0,10.9,24,1.44,3,0.31,0.12,0.0,0.0,0.0,0.0,0.75,3.0,0.75,0.06
2.go,3.96,21.0,46.43,102,3.05,8.0,8.0,26,1.29,3,0.24,0.05,0.0,0.0,0.52,34.9,3.38,2.9,1.9,0.0
3.go,5.33,32.0,38.34,161,2.06,9.0,11.0,38,1.12,2,0.19,0.0,0.19,7.33,0.12,22.2,2.19,5.25,1.19,0.03
4.go,6.44,21.0,27.67,84,1.52,5.0,10.4,26,1.05,4,0.29,0.0,0.29,10.5,0.0,0.0,1.1,4.48,1.24,0.0
5.go,6.15,20.0,23.75,116,1.85,8.0,6.2,26,1.0,3,0.5,0.0,0.1,30.5,0.0,0.0,1.35,3.35,1.0,0.0
6.go,5.93,50.0,17.02,133,1.0,9.0,5.5,27,2.88,6,0.38,0.08,0.28,5.0,0.04,15.5,1.02,4.42,1.04,0.08
7.go,6.7,25.0,26.24,71,1.64,5.0,8.68,23,1.52,4,0.52,0.0,0.0,0.0,0.0,0.0,0.64,1.8,1.04,0.08
8.go,7.0,21.0,23.05,91,1.71,6.0,5.45,20,1.57,4,0.62,0.14,0.05,57.0,0.1,25.5,1.05,3.05,1.14,0.0
9.go,5.89,44.0,18.07,127,1.18,9.0,6.6,25,1.5,4,0.3,0.14,0.43,4.42,0.14,22.7,1.39,5.73,0.91,0.02
10.go,6.15,13.0,36.0,102,2.46,6.0,6.55,24,0.54,1,0.15,0.15,0.08,57.0,0.0,0.0,2.0,2.23,3.23,0.23
11.go,5.56,30.0,31.03,149,1.29,8.0,8.9,35,1.48,3,0.45,0.06,0.29,5.0,0.03,34.0,1.68,3.77,1.48,0.03
12.go,6.7,17.0,25.11,94,1.44,7.0,6.65,25,1.22,4,0.44,0.0,0.22,6.0,0.0,0.0,1.33,4.11,1.0,0.06
